timestamp_ms,distance,left_pwm,right_pwm
1590,133,0,0
1598,136,0,0
1601,137,0,0
1605,138,0,0
1609,138,0,0
1613,139,0,0
1617,140,0,0
1621,140,0,0
1625,141,0,0
1629,142,0,0
1633,142,0,0
1636,143,0,0
1640,142,0,0
1644,142,0,0
1648,141,0,0
1652,141,0,0
1656,140,0,0
1659,139,0,0
1663,139,0,0
1667,138,0,0
1671,138,0,0
1675,137,0,0
1679,138,0,0
1683,138,0,0
1687,139,0,0
1690,139,0,0
1694,139,0,0
1698,140,0,0
1702,140,0,0
1706,141,0,0
1710,141,0,0
1714,142,0,0
1717,142,0,0
1721,142,0,0
1725,141,0,0
1729,141,0,0
1733,141,0,0
1737,141,0,0
1741,140,0,0
1745,140,0,0
1748,140,0,0
1752,140,0,0
1756,140,0,0
1760,140,0,0
1764,140,0,0
1768,141,0,0
1772,141,0,0
1780,141,0,0
1784,141,0,0
1789,141,0,0
1796,141,0,0
1800,141,0,0
1808,142,0,0
1816,142,0,0
1820,142,0,0
1825,142,0,0
1832,141,0,0
1836,141,0,0
1842,141,0,0
1846,141,0,0
1850,141,0,0
1857,140,0,0
1865,140,0,0
1869,140,0,0
1876,140,0,0
1884,139,0,0
1888,139,0,0
1892,139,0,0
1896,139,0,0
1900,139,0,0
1904,140,0,0
1907,140,0,0
1911,140,0,0
1915,140,0,0
1919,141,0,0
1923,141,0,0
1927,141,0,0
1931,142,0,0
1934,142,0,0
1938,142,0,0
1942,141,0,0
1946,141,0,0
1950,141,0,0
1954,140,0,0
1958,140,0,0
1967,139,0,0
1970,139,0,0
1975,139,0,0
1982,140,0,0
1986,140,0,0
1992,140,0,0
1997,140,0,0
2001,141,0,0
2008,141,0,0
2016,141,0,0
2020,141,0,0
2027,140,0,0
2035,140,0,0
2039,140,0,0
2043,140,0,0
2052,139,0,0
2056,139,0,0
2061,139,0,0
2068,138,0,0
2071,138,0,0
2079,138,0,0
2088,137,0,0
2092,138,0,0
2097,138,0,0
2101,139,0,0
2105,140,0,0
2114,141,0,0
2119,142,0,0
2123,142,0,0
2127,142,0,0
2136,142,0,0
2140,141,0,0
2145,141,0,0
2152,141,0,0
2155,141,0,0
2161,141,0,0
2170,141,0,0
2174,140,0,0
2180,140,0,0
2188,140,0,0
2192,140,0,0
2196,140,0,0
2202,140,0,0
2206,140,0,0
2214,139,0,0
2218,139,0,0
2222,139,0,0
2226,139,0,0
2230,139,0,0
2234,139,0,0
2238,139,0,0
2241,139,0,0
2245,139,0,0
2249,140,0,0
2253,140,0,0
2257,140,0,0
2261,140,0,0
2265,140,0,0
2269,140,0,0
2273,140,0,0
2276,140,0,0
2280,140,0,0
2284,140,0,0
2288,140,0,0
2292,140,0,0
2296,141,0,0
2299,141,0,0
2303,141,0,0
2307,141,0,0
2311,141,0,0
2315,141,0,0
2319,141,0,0
2323,141,0,0
2327,141,0,0
2336,141,0,0
2339,141,0,0
2344,141,0,0
2351,142,0,0
2355,142,0,0
2361,142,0,0
2366,142,0,0
2370,142,0,0
2377,142,0,0
2385,142,0,0
2389,142,0,0
2396,141,0,0
2404,141,0,0
2408,141,0,0
2412,141,0,0
2416,141,0,0
2420,140,0,0
2424,140,0,0
2428,140,0,0
2432,139,0,0
2436,139,0,0
2439,139,0,0
2443,139,0,0
2447,138,0,0
2451,138,0,0
2455,138,0,0
2459,139,0,0
2463,139,0,0
2466,139,0,0
2470,139,0,0
2474,140,0,0
2478,140,0,0
2482,140,0,0
2486,141,0,0
2490,141,0,0
2499,141,0,0
2502,141,0,0
2507,141,0,0
2514,141,0,0
2518,141,0,0
2524,141,0,0
2529,140,0,0
2533,140,0,0
2540,140,0,0
2548,140,0,0
2552,140,0,0
2559,140,0,0
2567,140,0,0
2570,140,0,0
2574,141,0,0
2578,141,0,0
2582,141,0,0
2586,142,0,0
2590,142,0,0
2594,142,0,0
2602,143,0,0
2606,143,0,0
2611,142,0,0
2618,141,0,0
2622,141,0,0
2628,140,0,0
2632,139,0,0
2636,139,0,0
2641,140,0,0
2650,140,0,0
2654,141,0,0
2659,141,0,0
2663,142,0,0
2667,142,0,0
2674,143,0,0
2682,142,0,0
2686,141,0,0
2690,141,0,0
2694,140,0,0
2698,140,0,0
2702,139,0,0
2706,138,0,0
2709,138,0,0
2713,138,0,0
2717,138,0,0
2721,139,0,0
2725,139,0,0
2729,139,0,0
2733,139,0,0
2736,139,0,0
2740,140,0,0
2744,140,0,0
2748,140,0,0
2752,140,0,0
2756,140,0,0
2760,140,0,0
2764,140,0,0
2768,140,0,0
2771,140,0,0
2775,140,0,0
2779,140,0,0
2783,140,0,0
2787,139,0,0
2791,139,0,0
2795,139,0,0
2798,139,0,0
2807,139,0,0
2811,139,0,0
2816,139,0,0
2824,139,0,0
2828,139,0,0
2833,140,0,0
2838,141,0,0
2842,141,0,0
2850,142,0,0
2859,143,0,0
2862,143,0,0
2871,142,0,0
2878,142,0,0
2886,141,0,0
2890,141,0,0
2894,141,0,0
2898,141,0,0
2902,141,0,0
