2024-01-31 10:06:27,440 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 747696FD-B715-05CB-947A-0D181A9C2566
2024-01-31 10:06:27,449 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2024-01-31 10:06:27,450 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
2024-01-31 10:06:27,450 | MainThread   | [WARNING ] | exit_handler        |: Not connected to a BLE device
2024-01-31 10:06:27,520 | MainThread   | [WARNING ] | __del__             |: Could not delete BaseBLEController instance before exiting
2024-01-31 10:06:27,525 | MainThread   | [WARNING ] | __del__             |: Not connected to a BLE device
2024-01-31 10:40:15,760 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=11, micro=7, releaselevel='final', serial=0)
2024-01-31 10:40:15,760 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-14.2.1-arm64-arm-64bit
2024-01-31 10:40:15,766 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:89:F0:6B:06:4B
2024-01-31 10:40:18,929 | MainThread   | [INFO    ] | _connect            |: Connected to C0:89:F0:6B:06:4B
2024-01-31 10:40:20,195 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2024-01-31 10:40:20,199 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 747696FD-B715-05CB-947A-0D181A9C2566
2024-01-31 10:40:20,200 | MainThread   | [INFO    ] | exit_handler        |: Gracefully Exiting
2024-01-31 10:40:20,273 | MainThread   | [WARNING ] | __del__             |: Could not delete BaseBLEController instance before exiting
2024-01-31 10:40:20,279 | MainThread   | [WARNING ] | __del__             |: Not connected to a BLE device
2024-01-31 10:40:43,468 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=11, micro=7, releaselevel='final', serial=0)
2024-01-31 10:40:43,470 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-14.2.1-arm64-arm-64bit
2024-01-31 10:40:43,474 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:89:F0:6B:06:4B
2024-01-31 10:40:46,440 | MainThread   | [INFO    ] | _connect            |: Connected to C0:89:F0:6B:06:4B
2024-01-31 10:40:47,795 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2024-01-31 10:40:47,799 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 747696FD-B715-05CB-947A-0D181A9C2566
2024-01-31 10:40:47,801 | MainThread   | [INFO    ] | exit_handler        |: Gracefully Exiting
2024-01-31 10:40:47,875 | MainThread   | [WARNING ] | __del__             |: Could not delete BaseBLEController instance before exiting
2024-01-31 10:40:47,880 | MainThread   | [WARNING ] | __del__             |: Not connected to a BLE device
2024-01-31 10:43:06,694 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=11, micro=7, releaselevel='final', serial=0)
2024-01-31 10:43:06,694 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-14.2.1-arm64-arm-64bit
2024-01-31 10:43:06,699 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:89:F0:6B:06:4B
2024-01-31 10:43:09,962 | MainThread   | [INFO    ] | _connect            |: Connected to C0:89:F0:6B:06:4B
2024-01-31 10:55:42,758 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 747696FD-B715-05CB-947A-0D181A9C2566
2024-01-31 10:57:02,874 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:89:F0:6B:06:4B
2024-01-31 10:57:05,792 | MainThread   | [INFO    ] | _connect            |: Connected to C0:89:F0:6B:06:4B
2024-01-31 10:57:09,393 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 747696FD-B715-05CB-947A-0D181A9C2566
2024-01-31 10:57:43,895 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:89:F0:6B:06:4B
2024-01-31 10:57:46,952 | MainThread   | [INFO    ] | _connect            |: Connected to C0:89:F0:6B:06:4B
2024-01-31 11:11:17,898 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 747696FD-B715-05CB-947A-0D181A9C2566
2024-02-08 14:28:45,263 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=11, micro=7, releaselevel='final', serial=0)
2024-02-08 14:28:45,263 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-14.2.1-arm64-arm-64bit
2024-02-08 14:28:45,265 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:89:F0:6B:06:4B
2024-02-08 14:30:01,452 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2024-02-08 14:30:01,484 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
2024-02-08 14:30:01,485 | MainThread   | [WARNING ] | exit_handler        |: Not connected to a BLE device
2024-02-08 14:30:05,009 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=11, micro=7, releaselevel='final', serial=0)
